Time Period,Midwest Region,Northeast Region,South Region,West Region
1987-01-01,113.900,118.900,114.400,116.100
1987-02-01,114.000,119.000,114.700,116.700
1987-03-01,114.900,119.700,115.200,117.300
1987-04-01,115.400,120.600,115.700,118.000
1987-05-01,115.600,121.000,116.000,118.000
1987-06-01,115.800,121.000,116.100,118.100
1987-07-01,116.100,121.300,116.300,118.300
1987-08-01,116.900,122.300,116.600,118.900
1987-09-01,117.600,123.100,117.300,119.700
1987-10-01,118.300,124.200,117.900,120.300
1987-11-01,118.400,124.400,118.400,120.700
1987-12-01,118.100,124.400,118.300,120.800
1988-01-01,118.300,125.000,118.500,121.400
1988-02-01,118.800,125.300,118.800,121.700
1988-03-01,119.700,126.200,119.400,122.400
1988-04-01,120.300,127.000,120.100,122.600
1988-05-01,120.600,127.400,120.200,122.900
1988-06-01,120.700,127.700,120.500,123.200
1988-07-01,121.300,128.000,120.800,123.400
1988-08-01,121.800,128.800,120.900,123.900
1988-09-01,122.400,130.600,121.800,124.500
1988-10-01,123.400,131.300,122.600,125.100
1988-11-01,123.500,131.700,122.900,125.600
1988-12-01,123.500,131.600,123.200,125.900
1989-01-01,123.900,132.200,123.400,126.500
1989-02-01,124.500,132.500,123.900,127.000
1989-03-01,125.200,133.600,124.400,127.700
1989-04-01,125.600,134.000,125.000,127.600
1989-05-01,125.800,134.700,125.200,128.000
1989-06-01,126.100,134.600,125.400,128.300
1989-07-01,126.500,135.100,125.700,129.000
1989-08-01,126.700,135.500,126.100,129.400
1989-09-01,127.300,136.800,126.600,130.000
1989-10-01,128.300,137.800,127.400,130.500
1989-11-01,128.800,138.300,127.700,131.100
1989-12-01,128.600,138.300,127.900,131.700
1990-01-01,128.900,139.000,128.300,132.200
1990-02-01,129.600,139.400,129.400,133.200
1990-03-01,130.800,140.900,130.200,134.100
1990-04-01,131.200,141.600,130.500,134.100
1990-05-01,131.400,141.800,130.700,134.200
1990-06-01,131.600,141.700,131.400,135.100
1990-07-01,131.700,143.100,132.000,135.700
1990-08-01,132.800,144.300,132.600,136.300
1990-09-01,133.600,145.100,133.000,137.500
1990-10-01,134.300,145.700,133.800,138.000
1990-11-01,134.800,145.900,134.300,138.200
1990-12-01,134.700,145.900,134.400,138.800
1991-01-01,135.200,147.600,135.300,140.000
1991-02-01,136.300,148.600,136.400,140.600
1991-03-01,137.300,149.200,136.900,141.000
1991-04-01,137.500,149.300,137.100,141.200
1991-05-01,138.000,149.500,137.300,140.900
1991-06-01,138.000,149.500,137.400,141.500
1991-07-01,138.100,150.400,137.700,142.500
1991-08-01,138.600,151.100,138.200,143.400
1991-09-01,139.500,152.000,138.800,144.100
1991-10-01,140.300,152.400,139.500,144.200
1991-11-01,140.600,152.900,139.900,144.700
1991-12-01,140.600,153.200,139.900,144.500
1992-01-01,141.100,153.600,140.000,145.600
1992-02-01,141.500,154.200,140.900,146.400
1992-03-01,142.100,155.500,141.600,147.100
1992-04-01,142.300,155.600,142.000,147.200
1992-05-01,142.400,155.700,142.300,147.100
1992-06-01,142.500,156.000,142.500,147.100
1992-07-01,143.200,156.600,142.600,147.500
1992-08-01,143.700,157.500,142.700,147.800
1992-09-01,144.100,157.900,143.000,148.400
1992-10-01,144.700,158.700,144.000,149.400
1992-11-01,145.000,158.500,144.600,149.800
1992-12-01,145.200,158.200,144.500,149.800
1993-01-01,145.700,159.200,145.000,150.500
1993-02-01,146.400,160.200,146.100,151.300
1993-03-01,147.100,161.000,146.700,151.300
1993-04-01,147.200,161.100,147.200,151.900
1993-05-01,147.200,160.700,147.400,152.100
1993-06-01,147.300,161.200,147.400,152.100
1993-07-01,147.400,161.400,147.500,152.300
1993-08-01,148.100,161.900,148.300,152.600
1993-09-01,148.600,162.100,148.400,153.000
1993-10-01,149.300,162.900,149.100,153.200
1993-11-01,149.800,163.000,149.500,153.900
1993-12-01,149.700,162.800,149.500,154.100
1994-01-01,150.000,163.300,149.800,154.600
1994-02-01,150.700,164.600,150.400,155.000
1994-03-01,151.400,165.100,151.400,155.800
1994-04-01,151.700,165.100,151.700,155.600
1994-05-01,152.100,164.900,152.000,155.400
1994-06-01,152.500,165.400,152.100,155.400
1994-07-01,152.700,165.500,152.100,155.900
1994-08-01,153.400,166.300,152.400,156.400
1994-09-01,154.100,166.400,152.900,157.100
1994-10-01,154.600,167.100,153.500,157.500
1994-11-01,155.000,167.300,153.700,157.500
1994-12-01,154.800,166.500,153.700,157.400
1995-01-01,155.200,167.500,154.400,158.400
1995-02-01,156.100,168.300,155.400,159.000
1995-03-01,157.000,168.900,156.400,159.600
1995-04-01,157.500,169.100,156.800,159.900
1995-05-01,157.400,169.400,156.700,160.100
1995-06-01,157.500,169.500,156.700,160.200
1995-07-01,158.000,169.900,156.900,160.200
1995-08-01,158.400,170.500,157.500,160.600
1995-09-01,159.000,171.100,157.800,161.100
1995-10-01,159.700,171.800,158.700,161.600
1995-11-01,159.700,171.900,159.000,161.700
1995-12-01,159.400,171.800,158.800,161.300
1996-01-01,159.800,172.400,159.400,162.500
1996-02-01,160.700,173.400,160.000,163.300
1996-03-01,161.300,174.200,160.800,164.000
1996-04-01,161.600,173.700,161.100,164.300
1996-05-01,161.700,173.800,161.300,164.100
1996-06-01,161.600,173.800,161.300,164.300
1996-07-01,161.900,174.400,161.400,164.700
1996-08-01,162.300,175.300,161.400,164.900
1996-09-01,162.800,175.900,161.800,165.700
1996-10-01,163.400,176.600,162.500,166.100
1996-11-01,163.700,176.400,162.800,166.400
1996-12-01,163.600,176.300,162.600,165.900
1997-01-01,163.900,177.000,163.200,166.600
1997-02-01,164.700,177.900,163.800,167.200
1997-03-01,165.500,178.500,164.500,168.000
1997-04-01,166.100,178.600,165.000,168.300
1997-05-01,166.200,178.400,164.900,168.400
1997-06-01,166.000,178.500,164.800,168.200
1997-07-01,166.000,179.300,164.800,168.500
1997-08-01,166.500,179.500,164.700,168.500
1997-09-01,166.900,180.100,165.000,168.900
1997-10-01,167.600,180.900,165.800,169.600
1997-11-01,167.600,180.300,166.100,169.700
1997-12-01,167.300,180.400,165.900,169.800
1998-01-01,167.900,180.900,166.500,170.200
1998-02-01,168.700,181.800,167.200,171.200
1998-03-01,169.200,182.400,167.900,171.600
1998-04-01,169.900,182.600,168.300,171.900
1998-05-01,170.000,182.500,168.400,172.000
1998-06-01,170.000,182.400,168.300,172.100
1998-07-01,170.200,182.800,168.500,172.300
1998-08-01,170.300,183.700,168.900,172.900
1998-09-01,170.900,184.100,169.100,173.200
1998-10-01,171.300,184.800,169.500,173.800
1998-11-01,171.400,184.500,169.700,174.200
1998-12-01,171.400,184.600,169.900,174.100
1999-01-01,171.800,184.800,170.200,174.800
1999-02-01,172.200,185.200,170.500,175.500
1999-03-01,172.700,185.900,171.100,175.900
1999-04-01,173.500,186.300,171.600,176.600
1999-05-01,173.400,186.200,171.400,176.300
1999-06-01,173.300,186.300,171.300,176.100
1999-07-01,173.500,186.600,171.500,176.700
1999-08-01,173.500,187.100,171.500,177.000
1999-09-01,174.200,187.800,172.000,177.800
1999-10-01,174.900,188.500,172.500,178.300
1999-11-01,175.100,188.300,172.600,178.700
1999-12-01,174.600,188.000,172.400,178.700
2000-01-01,175.100,188.800,173.000,179.300
2000-02-01,175.600,189.600,173.500,180.200
2000-03-01,176.600,190.800,174.700,181.000
2000-04-01,177.100,191.000,175.100,181.200
2000-05-01,177.100,190.800,175.000,181.600
2000-06-01,177.200,190.900,175.000,181.800
2000-07-01,177.300,191.300,175.300,182.200
2000-08-01,177.500,191.900,175.500,183.000
2000-09-01,178.400,192.500,175.800,183.500
2000-10-01,178.900,193.400,176.100,184.000
2000-11-01,179.100,193.400,176.500,184.300
2000-12-01,178.900,192.700,176.300,184.200
2001-01-01,179.500,193.500,176.900,185.200
2001-02-01,180.400,194.400,177.800,186.300
2001-03-01,180.800,195.800,178.700,187.000
2001-04-01,181.300,196.100,179.000,187.200
2001-05-01,181.400,196.000,178.700,187.300
2001-06-01,181.500,196.500,179.000,187.800
2001-07-01,181.800,196.500,179.100,188.300
2001-08-01,182.200,197.300,179.400,188.900
2001-09-01,183.100,197.500,179.800,189.400
2001-10-01,183.500,198.200,180.400,189.800
2001-11-01,184.100,198.800,180.600,190.300
2001-12-01,183.700,198.400,180.300,190.200
2002-01-01,183.600,199.200,180.500,190.800
2002-02-01,184.400,200.900,181.200,191.800
2002-03-01,185.100,201.700,181.800,192.100
2002-04-01,185.700,202.000,182.300,192.800
2002-05-01,185.700,202.100,182.400,192.300
2002-06-01,185.800,202.000,182.400,192.000
2002-07-01,185.700,202.600,182.400,192.100
2002-08-01,186.400,203.800,182.800,192.900
2002-09-01,186.900,204.000,183.100,193.100
2002-10-01,187.100,204.500,184.000,193.400
2002-11-01,186.900,204.300,184.300,193.400
2002-12-01,186.600,203.600,184.000,193.000
2003-01-01,186.600,204.200,184.000,194.200
2003-02-01,187.400,204.600,184.800,195.000
2003-03-01,187.600,205.600,185.400,195.200
2003-04-01,187.700,205.600,185.500,195.100
2003-05-01,187.700,206.200,185.400,195.100
2003-06-01,187.500,206.200,185.200,194.800
2003-07-01,187.300,207.100,185.100,195.100
2003-08-01,187.400,207.800,185.200,195.500
2003-09-01,188.100,207.800,185.400,195.300
2003-10-01,188.800,208.700,186.000,195.600
2003-11-01,188.700,208.400,185.700,195.100
2003-12-01,188.100,208.000,185.400,194.800
2004-01-01,188.300,208.700,185.500,195.900
2004-02-01,188.900,209.600,186.300,197.000
2004-03-01,189.900,211.700,187.300,198.000
2004-04-01,190.200,212.500,187.900,197.800
2004-05-01,190.300,212.200,188.000,197.900
2004-06-01,190.200,212.700,188.100,197.600
2004-07-01,190.200,212.900,188.000,197.700
2004-08-01,190.400,213.000,188.100,198.100
2004-09-01,191.200,213.400,188.400,199.100
2004-10-01,191.900,214.600,189.100,199.600
2004-11-01,192.200,214.100,189.200,199.600
2004-12-01,191.600,213.400,189.200,199.200
2005-01-01,191.700,214.200,189.700,200.100
2005-02-01,192.800,215.500,190.700,201.300
2005-03-01,193.600,218.100,191.600,202.000
2005-04-01,193.800,218.000,191.900,202.300
2005-05-01,193.700,217.300,192.100,202.300
2005-06-01,193.700,217.000,192.200,201.900
2005-07-01,193.500,218.300,192.000,201.900
2005-08-01,193.900,218.600,191.800,202.400
2005-09-01,194.700,217.800,192.100,203.200
2005-10-01,195.100,219.600,192.700,204.200
2005-11-01,195.000,219.300,193.100,204.300
2005-12-01,194.500,218.400,193.400,204.100
2006-01-01,194.600,219.200,193.700,205.300
2006-02-01,195.300,220.700,194.600,206.200
2006-03-01,196.600,222.400,195.700,207.300
2006-04-01,196.800,223.500,196.200,208.000
2006-05-01,196.900,223.800,196.500,208.100
2006-06-01,197.000,224.500,196.900,207.800
